X,Y,ZM,TRATA,BLOQUE,Rto
383247.7505,6285437.189,AP,TESTIGO,2,12286.7034
383251.9501,6285437.248,AP,TESTIGO,2,8991.6702
383256.1496,6285437.308,AP,TESTIGO,2,8116.68315
383260.3492,6285437.367,AP,TESTIGO,2,8128.97805
383264.5488,6285437.426,AP,TESTIGO,2,7249.8927
383268.7484,6285437.486,AP,TESTIGO,2,8850.27885
383272.948,6285437.545,AP,TESTIGO,2,7555.21605
383277.1475,6285437.604,AP,TESTIGO,2,7483.4958
383281.3471,6285437.664,AP,TESTIGO,2,5949.707025
383285.5467,6285437.723,BP,TESTIGO,2,7111.629
383289.7463,6285437.783,BP,TESTIGO,2,6902.4
383293.9459,6285437.842,BP,TESTIGO,2,6035.286
383298.1454,6285437.901,BP,TESTIGO,2,7023.192
383302.345,6285437.961,BP,TESTIGO,2,7112.7075
383306.5446,6285438.02,BP,TESTIGO,2,6009.402
383310.7442,6285438.079,BP,TESTIGO,2,7618.524
383314.9438,6285438.139,BP,TESTIGO,2,6564.8295
383319.1433,6285438.198,BP,TESTIGO,2,7617.4455
383323.3429,6285438.258,BP,TESTIGO,2,7117.0215
383327.5425,6285438.317,BP,TESTIGO,2,5968.419
383331.7421,6285438.376,BP,TESTIGO,2,7558.128
383335.9417,6285438.436,BP,TESTIGO,2,6936.912
383340.1412,6285438.495,BP,TESTIGO,2,7449.1995
383344.3408,6285438.554,BP,TESTIGO,2,7497.732
383348.5404,6285438.614,BP,TESTIGO,2,8052.081
383352.74,6285438.673,BP,TESTIGO,2,7529.0085
383356.9396,6285438.733,BP,TESTIGO,2,8170.716
383361.1391,6285438.792,BP,TESTIGO,2,8181.501
383365.3387,6285438.851,BP,TESTIGO,2,6858.1815
383369.5383,6285438.911,BP,TESTIGO,2,6266.085
383373.7379,6285438.97,BP,TESTIGO,2,6564.8295
383377.9375,6285439.029,BP,TESTIGO,2,6771.9015
383382.137,6285439.089,BP,TESTIGO,2,7575.384
383386.3366,6285439.148,BP,TESTIGO,2,7356.4485
383390.5362,6285439.208,BP,TESTIGO,2,7182.81
383394.7358,6285439.267,BP,TESTIGO,2,8705.652
383398.9354,6285439.326,BP,TESTIGO,2,7151.5335
383403.1349,6285439.386,BP,TESTIGO,2,7640.094
383407.3345,6285439.445,BP,TESTIGO,2,7135.356
383411.5341,6285439.504,BP,TESTIGO,2,6798.864
383415.7337,6285439.564,BP,TESTIGO,2,6831.219
383419.9333,6285439.623,BP,TESTIGO,2,6418.1535
383424.1328,6285439.683,BP,TESTIGO,2,6545.4165
383428.3324,6285439.742,BP,TESTIGO,2,6798.864
383432.532,6285439.801,BP,TESTIGO,2,7090.059
383436.7316,6285439.861,BP,TESTIGO,2,7801.869
383440.9312,6285439.92,BP,TESTIGO,2,8436.027
383445.1307,6285439.979,BP,TESTIGO,2,6986.523
383449.3303,6285440.039,BP,TESTIGO,2,7573.227
383453.5299,6285440.098,BP,TESTIGO,2,7505.2815
383457.7295,6285440.158,BP,TESTIGO,2,6270.399
383461.9291,6285440.217,BP,TESTIGO,2,7888.149
383466.1287,6285440.276,BP,TESTIGO,2,6652.188
383470.3282,6285440.336,BP,TESTIGO,2,7588.326
383474.5278,6285440.395,BP,TESTIGO,2,6515.2185
383478.7274,6285440.454,BP,TESTIGO,2,8606.43
383482.927,6285440.514,BP,TESTIGO,2,7290.66
383487.1266,6285440.573,BP,TESTIGO,2,7445.964
383491.3261,6285440.633,BP,TESTIGO,2,8535.249
383495.5257,6285440.692,BP,TESTIGO,2,7461.063
383499.7253,6285440.751,BP,TESTIGO,2,7028.5845
383503.9249,6285440.811,BP,TESTIGO,2,6576.693
383012.6334,6285429.664,AP,SPS+Zn,2,7995.88812
383016.8329,6285429.724,AP,SPS+Zn,2,10099.10976
